V1	Nodes	Betweenness_value	Degree_value	node_type	node_type_abbrev	WTC_membership
83	ASC1	7699.40508911739	116	Hub-Bottleneck	HB	11
84	ASF1	2521.31411334138	44	Hub-Bottleneck	HB	14
85	ASH1	1435.80792221838	25	Non-Hub-Non-Bottleneck	NHNB	14
86	ATG1	12658.7457842529	60	Hub-Bottleneck	HB	12
87	ATG10	84.2018981446156	17	Non-Hub-Non-Bottleneck	NHNB	12
88	ATG11	4078.24680236265	30	Hub-Bottleneck	HB	12
89	ATG13	1693.71364254232	24	Non-Hub-Bottleneck	NHB	12
90	ATG14	468.302688804397	17	Non-Hub-Non-Bottleneck	NHNB	12
91	ATG15	2280.08107255664	32	Hub-Bottleneck	HB	12
92	ATG17	496.571994830118	15	Non-Hub-Non-Bottleneck	NHNB	12
93	ATG18	3319.04512668744	35	Hub-Bottleneck	HB	12
94	ATG19	961.310314148139	22	Non-Hub-Non-Bottleneck	NHNB	12
95	ATG2	364.649042601833	9	Non-Hub-Non-Bottleneck	NHNB	12
96	ATG20	258.752412445712	11	Non-Hub-Non-Bottleneck	NHNB	12
97	ATG21	103.274486877216	15	Non-Hub-Non-Bottleneck	NHNB	12
98	ATG26	186.19039300949	9	Non-Hub-Non-Bottleneck	NHNB	4
99	ATG27	109.684006797607	8	Non-Hub-Non-Bottleneck	NHNB	12
100	ATG29	228.472601393996	16	Non-Hub-Non-Bottleneck	NHNB	12
101	ATG3	2018.52208467732	31	Hub-Bottleneck	HB	12
102	ATG31	176.682465053009	9	Non-Hub-Non-Bottleneck	NHNB	12
103	ATG32	772.702564154357	14	Non-Hub-Non-Bottleneck	NHNB	12
104	ATG33	340.494477199893	11	Non-Hub-Non-Bottleneck	NHNB	4
105	ATG34	143.394935722244	9	Non-Hub-Non-Bottleneck	NHNB	12
106	ATG36	430.314257766332	8	Non-Hub-Non-Bottleneck	NHNB	2
107	ATG38	0	8	Non-Hub-Non-Bottleneck	NHNB	12
108	ATG39	2.01961531674583	2	Non-Hub-Non-Bottleneck	NHNB	12
109	ATG4	275.07334455886	16	Non-Hub-Non-Bottleneck	NHNB	12
110	ATG41	3.17785194326744	2	Non-Hub-Non-Bottleneck	NHNB	12
111	ATG5	722.469665072473	18	Non-Hub-Non-Bottleneck	NHNB	12
112	ATG7	4485.95815241055	41	Hub-Bottleneck	HB	12
113	ATG8	7104.8156021227	46	Hub-Bottleneck	HB	12
114	ATG9	2702.2995017977	34	Hub-Bottleneck	HB	12
115	ATM1	46.4805313841699	2	Non-Hub-Non-Bottleneck	NHNB	2
116	ATP1	6720.69800322186	60	Hub-Bottleneck	HB	3
117	ATP10	73.6552523042751	5	Non-Hub-Non-Bottleneck	NHNB	3
118	ATP2	5264.26601369778	60	Hub-Bottleneck	HB	3
119	ATP3	558.560379518818	22	Non-Hub-Non-Bottleneck	NHNB	3
120	ATP4	346.965216393963	21	Non-Hub-Non-Bottleneck	NHNB	3
121	ATP5	841.834092685543	23	Non-Hub-Non-Bottleneck	NHNB	3
122	ATP7	119.745694448863	19	Non-Hub-Non-Bottleneck	NHNB	3
123	ATP8	134.594462704478	19	Non-Hub-Non-Bottleneck	NHNB	3
124	ATS1	454.514346032016	9	Non-Hub-Non-Bottleneck	NHNB	4
125	ATX1	167.283965829485	5	Non-Hub-Non-Bottleneck	NHNB	4
126	ATX2	14.1152491966523	2	Non-Hub-Non-Bottleneck	NHNB	4
127	AYR1	99.0516175271415	7	Non-Hub-Non-Bottleneck	NHNB	1
128	BAT1	733.259452514381	16	Non-Hub-Non-Bottleneck	NHNB	2
129	BAT2	944.682917160768	17	Non-Hub-Non-Bottleneck	NHNB	2
130	BCK1	1997.20197488099	48	Hub-Bottleneck	HB	4
131	BCP1	28.4075511329748	4	Non-Hub-Non-Bottleneck	NHNB	4
132	BCS1	980.359752609642	37	Hub-Non-Bottleneck	HNB	3
133	BCY1	1584.25944034086	29	Hub-Non-Bottleneck	HNB	4
134	BDF1	3580.67689338354	68	Hub-Bottleneck	HB	14
135	BEM3	125.389903884678	11	Non-Hub-Non-Bottleneck	NHNB	4
136	BET3	320.663945475823	18	Non-Hub-Non-Bottleneck	NHNB	6
137	BET4	347.228743451643	11	Non-Hub-Non-Bottleneck	NHNB	6
138	BFA1	366.818496324261	19	Non-Hub-Non-Bottleneck	NHNB	4
139	BFR1	62.2423072573958	7	Non-Hub-Non-Bottleneck	NHNB	8
140	BFR2	911.060962686203	32	Hub-Non-Bottleneck	HNB	11
141	BIM1	1110.98272778288	24	Non-Hub-Non-Bottleneck	NHNB	4
142	BIO2	23.7761938785051	2	Non-Hub-Non-Bottleneck	NHNB	25
143	BIR1	1568.51312534819	31	Hub-Non-Bottleneck	HNB	7
144	BMH1	6460.95631714347	58	Hub-Bottleneck	HB	4
145	BMH2	3241.5725874586	47	Hub-Bottleneck	HB	4
146	BMS1	2454.5119395842	50	Hub-Bottleneck	HB	11
147	BNA2	267.383864116575	7	Non-Hub-Non-Bottleneck	NHNB	2
148	BNA7	71.1515224462194	9	Non-Hub-Non-Bottleneck	NHNB	9
149	BOL1	57.6326687192558	6	Non-Hub-Non-Bottleneck	NHNB	2
150	BOL3	450.061887758431	16	Non-Hub-Non-Bottleneck	NHNB	2
151	BOR1	67.9449426264728	3	Non-Hub-Non-Bottleneck	NHNB	18
152	BOS1	447.816904026884	25	Non-Hub-Non-Bottleneck	NHNB	5
153	BPH1	1292.28717301989	19	Non-Hub-Non-Bottleneck	NHNB	6
154	BPL1	503.067653323488	4	Non-Hub-Non-Bottleneck	NHNB	25
155	BRE1	3446.70040685667	30	Hub-Bottleneck	HB	4
156	BRE5	1118.59580750252	16	Non-Hub-Non-Bottleneck	NHNB	8
157	BRL1	121.762289974576	4	Non-Hub-Non-Bottleneck	NHNB	4
158	BRR2	495.564591907288	31	Hub-Non-Bottleneck	HNB	8
159	BST1	517.597545923254	12	Non-Hub-Non-Bottleneck	NHNB	6
160	BTN2	163.223639123211	6	Non-Hub-Non-Bottleneck	NHNB	4
161	BTS1	831.029875194294	12	Non-Hub-Non-Bottleneck	NHNB	28
162	BUD14	463.476001977753	17	Non-Hub-Non-Bottleneck	NHNB	2
163	BUD16	296.49649924741	13	Non-Hub-Non-Bottleneck	NHNB	2
164	BUD2	767.778320691134	15	Non-Hub-Non-Bottleneck	NHNB	4
165	BUD4	185.478636543276	9	Non-Hub-Non-Bottleneck	NHNB	4
166	BUL1	784.117068896054	14	Non-Hub-Non-Bottleneck	NHNB	4
167	CAD1	166.853656695142	6	Non-Hub-Non-Bottleneck	NHNB	4
168	CAF16	186.268796736381	8	Non-Hub-Non-Bottleneck	NHNB	4
169	CAF4	899.303532939415	15	Non-Hub-Non-Bottleneck	NHNB	4
170	CAJ1	35.7874383942169	2	Non-Hub-Non-Bottleneck	NHNB	4
171	CAK1	675.160234157092	19	Non-Hub-Non-Bottleneck	NHNB	4
172	CAR1	679.482928980075	15	Non-Hub-Non-Bottleneck	NHNB	2
173	CAT2	821.010378906382	22	Non-Hub-Non-Bottleneck	NHNB	2
174	CBC2	15598.3028041081	121	Hub-Bottleneck	HB	8
175	CBF1	1110.23410572234	21	Non-Hub-Non-Bottleneck	NHNB	4
176	CBF2	2176.33347555094	40	Hub-Bottleneck	HB	7
177	CBF5	3115.27582285117	64	Hub-Bottleneck	HB	11
178	CBT1	21.2060280525597	3	Non-Hub-Non-Bottleneck	NHNB	17
179	CCC1	642.811433307388	11	Non-Hub-Non-Bottleneck	NHNB	2
180	CCC2	207.344875477412	7	Non-Hub-Non-Bottleneck	NHNB	4
181	CCL1	881.130513794486	55	Hub-Non-Bottleneck	HNB	14
182	CCP1	728.739485374411	10	Non-Hub-Non-Bottleneck	NHNB	4
183	CCR4	1660.25832743259	29	Hub-Bottleneck	HB	4
184	CCS1	724.47807637743	18	Non-Hub-Non-Bottleneck	NHNB	3
185	CCT4	880.692039460172	19	Non-Hub-Non-Bottleneck	NHNB	4
186	CCT5	1416.5080743562	18	Non-Hub-Non-Bottleneck	NHNB	4
187	CCT6	751.331082257838	15	Non-Hub-Non-Bottleneck	NHNB	4
188	CCT8	1250.61460380307	22	Non-Hub-Non-Bottleneck	NHNB	4
189	CCW14	17.77135906271	2	Non-Hub-Non-Bottleneck	NHNB	6
190	CCZ1	1810.99999145637	34	Hub-Bottleneck	HB	12
191	CDC10	805.096862403241	18	Non-Hub-Non-Bottleneck	NHNB	4
192	CDC11	501.874376078973	15	Non-Hub-Non-Bottleneck	NHNB	4
193	CDC12	870.392066250254	21	Non-Hub-Non-Bottleneck	NHNB	4
194	CDC13	3277.89334925262	42	Hub-Bottleneck	HB	14
195	CDC14	4721.06139093474	57	Hub-Bottleneck	HB	4
196	CDC15	1171.19747956792	24	Non-Hub-Non-Bottleneck	NHNB	4
197	CDC16	1006.68424278977	24	Non-Hub-Non-Bottleneck	NHNB	4
198	CDC19	5631.09410673963	47	Hub-Bottleneck	HB	14
199	CDC21	290.157251756636	11	Non-Hub-Non-Bottleneck	NHNB	2
200	CDC23	2390.11473257071	29	Hub-Bottleneck	HB	4
201	CDC24	902.98612131955	19	Non-Hub-Non-Bottleneck	NHNB	4
202	CDC25	2088.45020291256	35	Hub-Bottleneck	HB	4
203	CDC28	20608.331103647	133	Hub-Bottleneck	HB	4
204	CDC33	2587.97851601353	50	Hub-Bottleneck	HB	8
205	CDC34	2254.35475053603	35	Hub-Bottleneck	HB	4
206	CDC39	1921.40499780849	20	Non-Hub-Bottleneck	NHB	4
207	CDC4	713.843301583308	28	Hub-Non-Bottleneck	HNB	4
208	CDC42	3270.0813525315	50	Hub-Bottleneck	HB	4
209	CDC48	16035.6882649037	75	Hub-Bottleneck	HB	4
210	CDC5	4973.4236251949	58	Hub-Bottleneck	HB	4
211	CDC53	4239.44499158773	98	Hub-Bottleneck	HB	4
212	CDC55	4349.25613094827	53	Hub-Bottleneck	HB	4
213	CDC6	3943.25495429508	75	Hub-Bottleneck	HB	4
214	CDC60	354.011315334056	15	Non-Hub-Non-Bottleneck	NHNB	2
215	CDD1	282.764045512682	8	Non-Hub-Non-Bottleneck	NHNB	2
216	CDS1	381.424697610738	12	Non-Hub-Non-Bottleneck	NHNB	1
217	CEF1	62470.7057472452	175	Hub-Bottleneck	HB	4
218	CEG1	612.683150327041	29	Hub-Non-Bottleneck	HNB	14
