Condition	experiment_abbreviated	DEG_type	total	GSE_dataset
Lipid metabolism-coding genes	F30_P0	Underexpressed DEG	1	GSE10205_GSE16376
Proteostasis-coding genes	F30_P0	Overexpressed DEG	16	GSE10205_GSE16376
Proteostasis-coding genes	F30_P0	Underexpressed DEG	2	GSE10205_GSE16376
Autophagy-coding genes	F30_P30	Overexpressed DEG	19	GSE10205_GSE16376
Autophagy-coding genes	F30_P30	Underexpressed DEG	14	GSE10205_GSE16376
Lipid metabolism-coding genes	F30_P30	Overexpressed DEG	84	GSE10205_GSE16376
Lipid metabolism-coding genes	F30_P30	Underexpressed DEG	21	GSE10205_GSE16376
Proteostasis-coding genes	F30_P30	Overexpressed DEG	71	GSE10205_GSE16376
Proteostasis-coding genes	F30_P30	Underexpressed DEG	16	GSE10205_GSE16376
Autophagy-coding genes	F30_P4	Overexpressed DEG	1	GSE10205_GSE16376
Lipid metabolism-coding genes	F30_P4	Overexpressed DEG	2	GSE10205_GSE16376
Proteostasis-coding genes	F30_P4	Overexpressed DEG	1	GSE10205_GSE16376
Autophagy-coding genes	F30_P8	Overexpressed DEG	19	GSE10205_GSE16376
Autophagy-coding genes	F30_P8	Underexpressed DEG	10	GSE10205_GSE16376
Lipid metabolism-coding genes	F30_P8	Overexpressed DEG	91	GSE10205_GSE16376
Lipid metabolism-coding genes	F30_P8	Underexpressed DEG	18	GSE10205_GSE16376
Proteostasis-coding genes	F30_P8	Overexpressed DEG	68	GSE10205_GSE16376
Proteostasis-coding genes	F30_P8	Underexpressed DEG	11	GSE10205_GSE16376
Autophagy-coding genes	F60_P0	Overexpressed DEG	4	GSE10205_GSE16376
Lipid metabolism-coding genes	F60_P0	Overexpressed DEG	20	GSE10205_GSE16376
Lipid metabolism-coding genes	F60_P0	Underexpressed DEG	4	GSE10205_GSE16376
Proteostasis-coding genes	F60_P0	Overexpressed DEG	10	GSE10205_GSE16376
Proteostasis-coding genes	F60_P0	Underexpressed DEG	1	GSE10205_GSE16376
Autophagy-coding genes	F60_P30	Overexpressed DEG	19	GSE10205_GSE16376
Autophagy-coding genes	F60_P30	Underexpressed DEG	14	GSE10205_GSE16376
Lipid metabolism-coding genes	F60_P30	Overexpressed DEG	86	GSE10205_GSE16376
Lipid metabolism-coding genes	F60_P30	Underexpressed DEG	22	GSE10205_GSE16376
Proteostasis-coding genes	F60_P30	Overexpressed DEG	73	GSE10205_GSE16376
Proteostasis-coding genes	F60_P30	Underexpressed DEG	9	GSE10205_GSE16376
Autophagy-coding genes	F60_P4	Overexpressed DEG	1	GSE10205_GSE16376
Lipid metabolism-coding genes	F60_P4	Overexpressed DEG	6	GSE10205_GSE16376
Lipid metabolism-coding genes	F60_P4	Underexpressed DEG	6	GSE10205_GSE16376
Proteostasis-coding genes	F60_P4	Overexpressed DEG	1	GSE10205_GSE16376
Autophagy-coding genes	F60_P8	Overexpressed DEG	24	GSE10205_GSE16376
Autophagy-coding genes	F60_P8	Underexpressed DEG	12	GSE10205_GSE16376
Lipid metabolism-coding genes	F60_P8	Overexpressed DEG	97	GSE10205_GSE16376
Lipid metabolism-coding genes	F60_P8	Underexpressed DEG	18	GSE10205_GSE16376
Proteostasis-coding genes	F60_P8	Overexpressed DEG	76	GSE10205_GSE16376
Proteostasis-coding genes	F60_P8	Underexpressed DEG	11	GSE10205_GSE16376
Autophagy-coding genes	F8_P0	Overexpressed DEG	1	GSE10205_GSE16376
Lipid metabolism-coding genes	F8_P0	Overexpressed DEG	9	GSE10205_GSE16376
Lipid metabolism-coding genes	F8_P0	Underexpressed DEG	2	GSE10205_GSE16376
Proteostasis-coding genes	F8_P0	Overexpressed DEG	13	GSE10205_GSE16376
Proteostasis-coding genes	F8_P0	Underexpressed DEG	1	GSE10205_GSE16376
Autophagy-coding genes	F8_P30	Overexpressed DEG	18	GSE10205_GSE16376
Autophagy-coding genes	F8_P30	Underexpressed DEG	14	GSE10205_GSE16376
Lipid metabolism-coding genes	F8_P30	Overexpressed DEG	76	GSE10205_GSE16376
Lipid metabolism-coding genes	F8_P30	Underexpressed DEG	22	GSE10205_GSE16376
Proteostasis-coding genes	F8_P30	Overexpressed DEG	74	GSE10205_GSE16376
Proteostasis-coding genes	F8_P30	Underexpressed DEG	13	GSE10205_GSE16376
Autophagy-coding genes	F8_P8	Overexpressed DEG	19	GSE10205_GSE16376
Autophagy-coding genes	F8_P8	Underexpressed DEG	15	GSE10205_GSE16376
Lipid metabolism-coding genes	F8_P8	Overexpressed DEG	83	GSE10205_GSE16376
Lipid metabolism-coding genes	F8_P8	Underexpressed DEG	19	GSE10205_GSE16376
Proteostasis-coding genes	F8_P8	Overexpressed DEG	71	GSE10205_GSE16376
Proteostasis-coding genes	F8_P8	Underexpressed DEG	8	GSE10205_GSE16376
Autophagy-coding genes	F80_P0	Overexpressed DEG	8	GSE10205_GSE16376
Lipid metabolism-coding genes	F80_P0	Overexpressed DEG	28	GSE10205_GSE16376
Lipid metabolism-coding genes	F80_P0	Underexpressed DEG	2	GSE10205_GSE16376
Proteostasis-coding genes	F80_P0	Overexpressed DEG	9	GSE10205_GSE16376
Proteostasis-coding genes	F80_P0	Underexpressed DEG	1	GSE10205_GSE16376
Autophagy-coding genes	F80_P30	Overexpressed DEG	19	GSE10205_GSE16376
Autophagy-coding genes	F80_P30	Underexpressed DEG	14	GSE10205_GSE16376
Lipid metabolism-coding genes	F80_P30	Overexpressed DEG	86	GSE10205_GSE16376
Lipid metabolism-coding genes	F80_P30	Underexpressed DEG	22	GSE10205_GSE16376
Proteostasis-coding genes	F80_P30	Overexpressed DEG	73	GSE10205_GSE16376
Proteostasis-coding genes	F80_P30	Underexpressed DEG	9	GSE10205_GSE16376
Autophagy-coding genes	F80_P4	Overexpressed DEG	2	GSE10205_GSE16376
Lipid metabolism-coding genes	F80_P4	Overexpressed DEG	7	GSE10205_GSE16376
Lipid metabolism-coding genes	F80_P4	Underexpressed DEG	4	GSE10205_GSE16376
Proteostasis-coding genes	F80_P4	Overexpressed DEG	3	GSE10205_GSE16376
Proteostasis-coding genes	F80_P4	Underexpressed DEG	3	GSE10205_GSE16376
Autophagy-coding genes	F80_P8	Overexpressed DEG	24	GSE10205_GSE16376
Autophagy-coding genes	F80_P8	Underexpressed DEG	12	GSE10205_GSE16376
Lipid metabolism-coding genes	F80_P8	Overexpressed DEG	97	GSE10205_GSE16376
Lipid metabolism-coding genes	F80_P8	Underexpressed DEG	18	GSE10205_GSE16376
Proteostasis-coding genes	F80_P8	Overexpressed DEG	76	GSE10205_GSE16376
Proteostasis-coding genes	F80_P8	Underexpressed DEG	11	GSE10205_GSE16376
