rownames(topologies_lipid_stress_data_cluster_color)	Nodes	Betweenness_value	Degree_value	node_type	node_type_abbrev	WTC_membership	Cluster_number	Color
53	AMN1	305.283851504486	16	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
54	AMS1	152.017625640145	7	Non-Hub-Non-Bottleneck	NHNB	8	Cluster 8	#C08B12
55	ANB1	1213.04054303026	37	Hub-Non-Bottleneck	HNB	11	Cluster 11	#E6AB02
56	ANP1	3581.24569559425	30	Hub-Bottleneck	HB	29	Cluster 29	#B16649
57	APA1	582.226132047565	11	Non-Hub-Non-Bottleneck	NHNB	2	Cluster 2	#736957
58	APC2	155.730477595459	15	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
59	APE1	16.9213184259248	7	Non-Hub-Non-Bottleneck	NHNB	12	Cluster 12	#CCAA08
60	APL2	2484.55039956601	34	Hub-Bottleneck	HB	6	Cluster 6	#A6761D
61	APL3	812.775820314979	24	Non-Hub-Non-Bottleneck	NHNB	6	Cluster 6	#A6761D
62	APM1	2036.48030844816	37	Hub-Bottleneck	HB	6	Cluster 6	#A6761D
63	APM3	152.552619016552	11	Non-Hub-Non-Bottleneck	NHNB	6	Cluster 6	#A6761D
64	AQY2	215.093085163789	5	Non-Hub-Non-Bottleneck	NHNB	26	Cluster 26	#7570B3
65	ARA2	82.0870233701589	5	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
66	ARB1	2122.21488832992	36	Hub-Bottleneck	HB	11	Cluster 11	#E6AB02
67	ARE1	1588.44756250406	31	Hub-Non-Bottleneck	HNB	6	Cluster 6	#A6761D
68	ARE2	684.748564337393	26	Non-Hub-Non-Bottleneck	NHNB	6	Cluster 6	#A6761D
69	ARF1	2688.31413979297	32	Hub-Bottleneck	HB	6	Cluster 6	#A6761D
70	ARF2	4295.15026155347	49	Hub-Bottleneck	HB	6	Cluster 6	#A6761D
71	ARF3	287.261854894999	11	Non-Hub-Non-Bottleneck	NHNB	6	Cluster 6	#A6761D
72	ARG3	173.587516838045	5	Non-Hub-Non-Bottleneck	NHNB	9	Cluster 9	#CC960D
73	ARG5,6	253.565607768357	12	Non-Hub-Non-Bottleneck	NHNB	7	Cluster 7	#B38118
74	ARG7	296.098215358935	9	Non-Hub-Non-Bottleneck	NHNB	9	Cluster 9	#CC960D
75	ARL1	1440.62680144895	15	Non-Hub-Non-Bottleneck	NHNB	6	Cluster 6	#A6761D
76	ARL3	107.611485793322	5	Non-Hub-Non-Bottleneck	NHNB	5	Cluster 5	#99732C
77	ARO1	1286.09505740191	19	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
78	ARP2	1259.82892390779	21	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
79	ARP9	588.45093066921	19	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
80	ART5	82.7949719141062	3	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	#666666
81	ARV1	410.521751231646	10	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
82	ARX1	682.013639940007	52	Hub-Non-Bottleneck	HNB	11	Cluster 11	#E6AB02
83	ASC1	7699.40508911739	116	Hub-Bottleneck	HB	11	Cluster 11	#E6AB02
84	ASF1	2521.31411334138	44	Hub-Bottleneck	HB	14	Cluster 14	#99A813
85	ASH1	1435.80792221838	25	Non-Hub-Non-Bottleneck	NHNB	14	Cluster 14	#99A813
86	ATG1	12658.7457842529	60	Hub-Bottleneck	HB	12	Cluster 12	#CCAA08
87	ATG10	84.2018981446156	17	Non-Hub-Non-Bottleneck	NHNB	12	Cluster 12	#CCAA08
88	ATG11	4078.24680236265	30	Hub-Bottleneck	HB	12	Cluster 12	#CCAA08
89	ATG13	1693.71364254232	24	Non-Hub-Bottleneck	NHB	12	Cluster 12	#CCAA08
90	ATG14	468.302688804397	17	Non-Hub-Non-Bottleneck	NHNB	12	Cluster 12	#CCAA08
91	ATG15	2280.08107255664	32	Hub-Bottleneck	HB	12	Cluster 12	#CCAA08
92	ATG17	496.571994830118	15	Non-Hub-Non-Bottleneck	NHNB	12	Cluster 12	#CCAA08
93	ATG18	3319.04512668744	35	Hub-Bottleneck	HB	12	Cluster 12	#CCAA08
94	ATG19	961.310314148139	22	Non-Hub-Non-Bottleneck	NHNB	12	Cluster 12	#CCAA08
95	ATG2	364.649042601833	9	Non-Hub-Non-Bottleneck	NHNB	12	Cluster 12	#CCAA08
96	ATG20	258.752412445712	11	Non-Hub-Non-Bottleneck	NHNB	12	Cluster 12	#CCAA08
97	ATG21	103.274486877216	15	Non-Hub-Non-Bottleneck	NHNB	12	Cluster 12	#CCAA08
98	ATG26	186.19039300949	9	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
99	ATG27	109.684006797607	8	Non-Hub-Non-Bottleneck	NHNB	12	Cluster 12	#CCAA08
100	ATG29	228.472601393996	16	Non-Hub-Non-Bottleneck	NHNB	12	Cluster 12	#CCAA08
101	ATG3	2018.52208467732	31	Hub-Bottleneck	HB	12	Cluster 12	#CCAA08
102	ATG31	176.682465053009	9	Non-Hub-Non-Bottleneck	NHNB	12	Cluster 12	#CCAA08
103	ATG32	772.702564154357	14	Non-Hub-Non-Bottleneck	NHNB	12	Cluster 12	#CCAA08
104	ATG33	340.494477199893	11	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
105	ATG34	143.394935722244	9	Non-Hub-Non-Bottleneck	NHNB	12	Cluster 12	#CCAA08
106	ATG36	430.314257766332	8	Non-Hub-Non-Bottleneck	NHNB	2	Cluster 2	#736957
107	ATG38	0	8	Non-Hub-Non-Bottleneck	NHNB	12	Cluster 12	#CCAA08
108	ATG39	2.01961531674583	2	Non-Hub-Non-Bottleneck	NHNB	12	Cluster 12	#CCAA08
109	ATG4	275.07334455886	16	Non-Hub-Non-Bottleneck	NHNB	12	Cluster 12	#CCAA08
110	ATG41	3.17785194326744	2	Non-Hub-Non-Bottleneck	NHNB	12	Cluster 12	#CCAA08
111	ATG5	722.469665072473	18	Non-Hub-Non-Bottleneck	NHNB	12	Cluster 12	#CCAA08
112	ATG7	4485.95815241055	41	Hub-Bottleneck	HB	12	Cluster 12	#CCAA08
113	ATG8	7104.8156021227	46	Hub-Bottleneck	HB	12	Cluster 12	#CCAA08
114	ATG9	2702.2995017977	34	Hub-Bottleneck	HB	12	Cluster 12	#CCAA08
115	ATM1	46.4805313841699	2	Non-Hub-Non-Bottleneck	NHNB	2	Cluster 2	#736957
116	ATP1	6720.69800322186	60	Hub-Bottleneck	HB	3	Cluster 3	#806C49
117	ATP10	73.6552523042751	5	Non-Hub-Non-Bottleneck	NHNB	3	Cluster 3	#806C49
118	ATP2	5264.26601369778	60	Hub-Bottleneck	HB	3	Cluster 3	#806C49
119	ATP3	558.560379518818	22	Non-Hub-Non-Bottleneck	NHNB	3	Cluster 3	#806C49
120	ATP4	346.965216393963	21	Non-Hub-Non-Bottleneck	NHNB	3	Cluster 3	#806C49
121	ATP5	841.834092685543	23	Non-Hub-Non-Bottleneck	NHNB	3	Cluster 3	#806C49
122	ATP7	119.745694448863	19	Non-Hub-Non-Bottleneck	NHNB	3	Cluster 3	#806C49
123	ATP8	134.594462704478	19	Non-Hub-Non-Bottleneck	NHNB	3	Cluster 3	#806C49
124	ATS1	454.514346032016	9	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
125	ATX1	167.283965829485	5	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
126	ATX2	14.1152491966523	2	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
127	AYR1	99.0516175271415	7	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	#666666
128	BAT1	733.259452514381	16	Non-Hub-Non-Bottleneck	NHNB	2	Cluster 2	#736957
129	BAT2	944.682917160768	17	Non-Hub-Non-Bottleneck	NHNB	2	Cluster 2	#736957
130	BCK1	1997.20197488099	48	Hub-Bottleneck	HB	4	Cluster 4	#8C703A
131	BCP1	28.4075511329748	4	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
132	BCS1	980.359752609642	37	Hub-Non-Bottleneck	HNB	3	Cluster 3	#806C49
133	BCY1	1584.25944034086	29	Hub-Non-Bottleneck	HNB	4	Cluster 4	#8C703A
134	BDF1	3580.67689338354	68	Hub-Bottleneck	HB	14	Cluster 14	#99A813
135	BEM3	125.389903884678	11	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
136	BET3	320.663945475823	18	Non-Hub-Non-Bottleneck	NHNB	6	Cluster 6	#A6761D
137	BET4	347.228743451643	11	Non-Hub-Non-Bottleneck	NHNB	6	Cluster 6	#A6761D
138	BFA1	366.818496324261	19	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
139	BFR1	62.2423072573958	7	Non-Hub-Non-Bottleneck	NHNB	8	Cluster 8	#C08B12
140	BFR2	911.060962686203	32	Hub-Non-Bottleneck	HNB	11	Cluster 11	#E6AB02
141	BIM1	1110.98272778288	24	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
142	BIO2	23.7761938785051	2	Non-Hub-Non-Bottleneck	NHNB	25	Cluster 25	#8C62AB
143	BIR1	1568.51312534819	31	Hub-Non-Bottleneck	HNB	7	Cluster 7	#B38118
144	BMH1	6460.95631714347	58	Hub-Bottleneck	HB	4	Cluster 4	#8C703A
145	BMH2	3241.5725874586	47	Hub-Bottleneck	HB	4	Cluster 4	#8C703A
146	BMS1	2454.5119395842	50	Hub-Bottleneck	HB	11	Cluster 11	#E6AB02
147	BNA2	267.383864116575	7	Non-Hub-Non-Bottleneck	NHNB	2	Cluster 2	#736957
148	BNA7	71.1515224462194	9	Non-Hub-Non-Bottleneck	NHNB	9	Cluster 9	#CC960D
149	BOL1	57.6326687192558	6	Non-Hub-Non-Bottleneck	NHNB	2	Cluster 2	#736957
150	BOL3	450.061887758431	16	Non-Hub-Non-Bottleneck	NHNB	2	Cluster 2	#736957
151	BOR1	67.9449426264728	3	Non-Hub-Non-Bottleneck	NHNB	18	Cluster 18	#9A7449
152	BOS1	447.816904026884	25	Non-Hub-Non-Bottleneck	NHNB	5	Cluster 5	#99732C
153	BPH1	1292.28717301989	19	Non-Hub-Non-Bottleneck	NHNB	6	Cluster 6	#A6761D
154	BPL1	503.067653323488	4	Non-Hub-Non-Bottleneck	NHNB	25	Cluster 25	#8C62AB
155	BRE1	3446.70040685667	30	Hub-Bottleneck	HB	4	Cluster 4	#8C703A
156	BRE5	1118.59580750252	16	Non-Hub-Non-Bottleneck	NHNB	8	Cluster 8	#C08B12
157	BRL1	121.762289974576	4	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
158	BRR2	495.564591907288	31	Hub-Non-Bottleneck	HNB	8	Cluster 8	#C08B12
159	BST1	517.597545923254	12	Non-Hub-Non-Bottleneck	NHNB	6	Cluster 6	#A6761D
160	BTN2	163.223639123211	6	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
161	BTS1	831.029875194294	12	Non-Hub-Non-Bottleneck	NHNB	28	Cluster 28	#9D696C
162	BUD14	463.476001977753	17	Non-Hub-Non-Bottleneck	NHNB	2	Cluster 2	#736957
163	BUD16	296.49649924741	13	Non-Hub-Non-Bottleneck	NHNB	2	Cluster 2	#736957
164	BUD2	767.778320691134	15	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
165	BUD4	185.478636543276	9	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
166	BUL1	784.117068896054	14	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
