!Series_title	"Carbohydrate metabolism and the lager yeast transcriptome during brewery fermentation"
!Series_geo_accession	"GSE10205"
!Series_sample_id	"GSM257776 GSM257777 GSM257778 GSM257779 GSM257780 GSM257781 GSM257782 GSM257783 GSM257784 GSM257785 GSM257786 GSM257787 GSM257788 GSM257789 "
!Series_platform_id	"GPL2529"
!Series_platform_taxid	"4896"
!Series_platform_taxid	"4932"
!Series_sample_taxid	"4932"
!Sample_title	"Ferm_8h_A"	"Ferm_8h_B"	"Ferm_8h_C"	"Ferm_30h_A"	"Ferm_30h_C"	"Ferm_60h_A"	"Ferm_60h_B"	"Ferm_60h_C"	"Ferm_80h_A"	"Ferm_80h_B"	"Ferm_80h_C"	"Ferm_102h_A"	"Ferm_102h_B"	"Ferm_102h_C"
!Sample_geo_accession	"GSM257776"	"GSM257777"	"GSM257778"	"GSM257779"	"GSM257780"	"GSM257781"	"GSM257782"	"GSM257783"	"GSM257784"	"GSM257785"	"GSM257786"	"GSM257787"	"GSM257788"	"GSM257789"
!Sample_type	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"
!Sample_channel_count	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
!Sample_description "Ferm_8h_A"	"Ferm_8h_B"	"Ferm_8h_C"	"Ferm_30h_A"	"Ferm_30h_C"	"Ferm_60h_A"	"Ferm_60h_B"	"Ferm_60h_C"	"Ferm_80h_A"	"Ferm_80h_B"	"Ferm_80h_C"	"Ferm_102h_A"	"Ferm_102h_B"	"Ferm_102h_C"	
!Sample_platform_id	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"
!Sample_data_row_count	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"
!series_matrix_table_begin
"ID_REF"	"GSM257776"	"GSM257777"	"GSM257778"	"GSM257779"	"GSM257780"	"GSM257781"	"GSM257782"	"GSM257783"	"GSM257784"	"GSM257785"	"GSM257786"	"GSM257787"	"GSM257788"	"GSM257789"
"1769325_at"	159.900346	123.8804518	156.4851727	163.39135	131.256049	285.2383799	146.3281293	144.033029	114.0887602	153.2093638	172.469673	98.68154791	63.70366741	88.59466577
"1769326_at"	11.7378365	8.688597404	16.30955459	17.21862092	2.749724017	1.531388102	1.947447024	0.481063909	2.435204332	1.79507973	6.950852306	11.97087814	12.76223104	3.416700779
"1769327_at"	1.315608601	0.553354167	1.782262151	1.014985354	0.443497337	0.841676809	1.621894974	1.441541126	0.572496709	0.325405263	0.302336169	1.439869414	1.176265015	3.851912401
"1769328_at"	6.43293942	19.77134062	20.59910375	1.535776508	15.17028176	0.658269095	1.987582679	13.99767116	7.334152788	1.916875158	3.625782908	1.686799868	7.197483709	4.687971128
"1769329_at"	313.0450137	411.816005	389.2075954	346.3962508	324.4863514	345.4587424	319.8257432	309.6395004	321.5278555	389.8198047	391.4885672	292.7259149	255.2949697	286.1284746
"1769330_at"	9.523696769	7.499058254	13.40239318	3.719417224	1.584629333	3.618055598	2.493469005	1.05570157	1.538259301	0.326773495	0.279745273	8.290285363	0.440912877	10.88243503
"1769331_at"	231.536411	341.7789933	327.8320924	222.5555303	279.900005	173.9675784	275.5684633	317.9065778	436.454965	535.4141859	474.5750036	341.4733405	316.3155284	299.0677615
"1769333_at"	133.7248867	127.5046649	131.2931188	931.1663043	146.8492878	2187.54691	2879.37855	2334.036445	2433.256416	2865.842795	2679.244437	1489.998725	1292.965643	1197.103777
"1769334_at"	3.208261611	4.482834983	16.02689338	4.631978315	1.658322386	1.058065348	1.093041036	4.267056959	1.17033044	1.951452409	1.321925495	3.093982059	6.558161487	4.840858456
"1769335_at"	1984.001572	1793.592875	1804.577324	1202.577381	1453.314297	1540.019581	1171.420276	1025.724939	1009.813455	1194.06898	1187.711198	1357.212797	1305.722668	1308.473818
"1769336_at"	118.6156066	91.04495684	111.8351098	124.2999624	93.8456283	299.7991925	171.2020483	159.8952242	224.4139436	345.9644038	337.3786587	161.1382143	152.2547095	160.1465698
"1769337_at"	3.381537672	1.019323814	5.130618939	1.870870271	0.99117685	0.702596088	0.413995291	8.941874763	5.286175114	4.210854772	5.396402873	15.64901321	0.635026465	2.102615791
