Gene	Feature	Mean_FC_12_6	SD_12_6	Mean_FC_20_6	SD_20_6	anova_f_value	p_value_12_6	q_value_12_6	p_value_20_6	q_value_20_6
Q0045	COX1	1.23	0.11	3.38	0.44	0.0000	0.0090	0.0028	0.0000	0.0001
Q0085	ATP6	1.27	0.30	3.54	0.85	0.0004	0.1011	0.0218	0.0003	0.0002
Q0120	BI4	1.35	0.27	4.88	0.99	0.0002	0.0321	0.0081	0.0001	0.0001
Q0140	VAR1	1.28	0.10	2.22	0.17	0.0000	0.0019	0.0008	0.0000	0.0000
Q0250	COX2	1.72	0.34	3.37	0.63	0.0000	0.0060	0.0020	0.0002	0.0001
Q0275	COX3	1.42	0.26	2.24	0.40	0.0005	0.0119	0.0035	0.0005	0.0003
R0020C	REP1	0.77	0.05	1.11	0.15	0.0001	0.0008	0.0004	0.1843	0.0370
R0030W	RAF1	0.85	0.22	2.59	2.23	0.0079	0.2198	0.0431	0.0869	0.0191
R0040C	REP2	0.62	0.07	0.74	0.05	0.0006	0.0008	0.0004	0.0005	0.0003
YAL001C	TFC3	1.00	0.10	1.33	0.18	0.0071	0.9868	0.1591	0.0082	0.0026
YAL003W	EFB1	0.81	0.03	0.70	0.04	0.0004	0.0003	0.0002	0.0002	0.0002
YAL005C	SSA1	1.39	0.07	1.25	0.09	0.0002	0.0001	0.0001	0.0031	0.0012
YAL007C	ERP2	1.18	0.07	1.14	0.14	0.0022	0.0041	0.0015	0.0789	0.0176
YAL010C	MDM10	1.29	0.29	1.71	0.32	0.0001	0.0750	0.0168	0.0035	0.0013
YAL011W	SWC3	5.57	2.30	3.46	0.70	0.0001	0.0009	0.0005	0.0001	0.0001
YAL012W	CYS3	0.96	0.06	0.80	0.05	0.0010	0.1557	0.0318	0.0011	0.0005
YAL013W	DEP1	0.84	0.14	1.06	0.27	0.0914	0.0655	0.0149	0.8300	0.1376
YAL016W	TPD3	1.25	0.11	1.42	0.10	0.0006	0.0048	0.0017	0.0004	0.0002
YAL017W	PSK1	1.75	0.26	2.18	0.14	0.0000	0.0012	0.0005	0.0000	0.0000
YAL019W	FUN30	0.67	0.05	0.54	0.07	0.0002	0.0002	0.0001	0.0004	0.0003
YAL021C	CCR4	1.03	0.06	1.34	0.14	0.0052	0.4290	0.0776	0.0031	0.0012
YAL023C	PMT2	0.95	0.08	0.80	0.07	0.0055	0.2210	0.0433	0.0043	0.0015
YAL024C	LTE1	1.09	0.17	0.69	0.17	0.0309	0.2748	0.0525	0.0248	0.0065
YAL025C	MAK16	0.34	0.05	0.33	0.08	0.0001	0.0000	0.0001	0.0005	0.0003
YAL026C	DRS2	0.73	0.05	0.69	0.07	0.0009	0.0006	0.0003	0.0013	0.0006
YAL029C	MYO4	0.86	0.22	0.93	0.11	0.2649	0.2010	0.0398	0.2079	0.0411
YAL030W	SNC1	0.82	0.09	1.09	0.14	0.0087	0.0146	0.0042	0.2138	0.0421
YAL035W	FUN12	0.78	0.06	0.65	0.05	0.0001	0.0016	0.0007	0.0002	0.0002
YAL036C	RBG1	0.47	0.04	0.38	0.02	0.0000	0.0000	0.0000	0.0000	0.0000
YAL038W	CDC19	1.09	0.07	0.92	0.07	0.0110	0.0400	0.0098	0.0693	0.0157
YAL039C	CYC3	2.34	0.26	3.95	0.45	0.0000	0.0001	0.0001	0.0000	0.0000
YAL041W	CDC24	1.08	0.08	1.12	0.09	0.0278	0.0885	0.0194	0.0371	0.0092
YAL042W	ERV46	0.87	0.08	0.71	0.09	0.0049	0.0245	0.0064	0.0033	0.0012
YAL043C	PTA1	0.75	0.05	0.85	0.10	0.0004	0.0006	0.0003	0.0357	0.0089
YAL044C	GCV3	2.40	0.23	2.46	0.24	0.0000	0.0000	0.0001	0.0000	0.0000
YAL044W-A	YAL044W-A	0.37	0.13	0.68	0.13	0.0025	0.0018	0.0008	0.0131	0.0038
YAL048C	GEM1	1.08	0.09	1.50	0.04	0.0000	0.1486	0.0305	0.0000	0.0000
YAL049C	AIM2	1.69	0.12	2.46	0.27	0.0001	0.0001	0.0001	0.0000	0.0001
YAL053W	FLC2	0.56	0.06	0.86	0.03	0.0001	0.0002	0.0002	0.0010	0.0005
YAL054C	ACS1	1.04	0.01	20.59	1.16	0.0000	0.0021	0.0009	0.0000	0.0000
YAL056W	GPB2	0.97	0.25	1.51	0.36	0.0041	0.6622	0.1134	0.0209	0.0056
YAL058W	CNE1	1.21	0.13	1.09	0.12	0.0103	0.0189	0.0052	0.2042	0.0404
YAL059W	ECM1	0.41	0.05	0.37	0.04	0.0000	0.0001	0.0001	0.0000	0.0000
YAL060W	BDH1	2.25	0.14	2.41	0.15	0.0000	0.0000	0.0000	0.0000	0.0000
YAL061W	BDH2	16.45	3.44	11.48	3.16	0.0000	0.0000	0.0000	0.0000	0.0001
YAL062W	GDH3	1.08	0.20	12.92	1.60	0.0000	0.4839	0.0863	0.0000	0.0000
YAR002C-A	ERP1	0.96	0.07	1.01	0.08	0.1246	0.2888	0.0548	0.8095	0.1347
YAR002W	NUP60	0.84	0.05	0.80	0.06	0.0028	0.0022	0.0009	0.0024	0.0010
YAR007C	RFA1	1.04	0.08	1.13	0.06	0.0092	0.3587	0.0663	0.0075	0.0024
YAR014C	BUD14	0.34	0.10	0.56	0.16	0.0012	0.0009	0.0004	0.0058	0.0019
YAR015W	ADE1	2.93	0.29	2.56	0.32	0.0000	0.0000	0.0000	0.0001	0.0001
YAR019C	CDC15	0.78	0.16	1.13	0.57	0.0550	0.0544	0.0127	0.8644	0.1423
YAR027W	UIP3	0.73	0.08	0.46	0.09	0.0012	0.0028	0.0011	0.0007	0.0004
YAR033W	MST28	1.76	0.26	1.64	0.07	0.0000	0.0013	0.0006	0.0000	0.0000
YAR035W	YAT1	1.47	0.23	29.94	1.52	0.0000	0.0066	0.0022	0.0000	0.0000
YAR042W	SWH1	1.46	0.16	1.84	0.23	0.0005	0.0021	0.0009	0.0004	0.0003
YAR071W	PHO11	0.46	0.05	0.37	0.06	0.0002	0.0001	0.0001	0.0001	0.0001
YBL001C	ECM15	2.52	1.25	3.60	1.53	0.0002	0.0094	0.0029	0.0014	0.0006
YBL002W	HTB2	0.87	0.12	1.13	0.12	0.0266	0.0814	0.0181	0.0595	0.0137
YBL003C	HTA2	0.96	0.27	1.11	0.21	0.1576	0.6146	0.1061	0.3604	0.0666
YBL004W	UTP20	0.46	0.01	0.35	0.02	0.0000	0.0000	0.0000	0.0000	0.0000
YBL006C	LDB7	4.43	0.69	7.47	2.85	0.0001	0.0000	0.0000	0.0003	0.0002
YBL007C	SLA1	1.11	0.09	1.11	0.11	0.0735	0.0427	0.0103	0.0744	0.0167
YBL008W	HIR1	0.61	0.13	0.75	0.11	0.0101	0.0061	0.0020	0.0107	0.0032
YBL009W	ALK2	0.60	0.79	0.73	0.56	0.1423	0.0851	0.0188	0.1454	0.0300
YBL010C	YBL010C	0.97	0.28	0.95	0.34	0.7547	0.6497	0.1115	0.5685	0.0993
YBL011W	SCT1	0.82	0.06	0.79	0.05	0.0000	0.0032	0.0012	0.0013	0.0006
YBL015W	ACH1	1.45	0.01	13.22	0.56	0.0000	0.0000	0.0000	0.0000	0.0000
YBL016W	FUS3	0.79	0.10	0.62	0.05	0.0002	0.0148	0.0042	0.0002	0.0001
YBL017C	PEP1	1.36	0.08	1.05	0.10	0.0003	0.0004	0.0002	0.3553	0.0658
YBL019W	APN2	0.81	0.11	0.92	0.07	0.0310	0.0248	0.0065	0.0623	0.0143
YBL020W	RFT1	0.77	0.10	1.12	0.16	0.0017	0.0111	0.0033	0.1824	0.0366
YBL022C	PIM1	1.23	0.04	1.44	0.08	0.0000	0.0001	0.0001	0.0002	0.0001
YBL023C	MCM2	1.00	0.11	0.95	0.06	0.1422	0.9796	0.1581	0.1702	0.0344
YBL024W	NCL1	0.65	0.05	0.57	0.04	0.0001	0.0002	0.0002	0.0001	0.0001
YBL026W	LSM2	0.94	0.03	1.03	0.06	0.0224	0.0154	0.0044	0.3662	0.0676
YBL027W	RPL19B	0.68	0.08	0.59	0.06	0.0000	0.0015	0.0007	0.0002	0.0002
YBL028C	YBL028C	0.32	0.08	0.26	0.03	0.0000	0.0006	0.0003	0.0000	0.0000
YBL029C-A	YBL029C-A	3.50	0.57	6.42	0.99	0.0000	0.0001	0.0001	0.0000	0.0000
YBL030C	PET9	1.82	0.13	5.15	0.45	0.0000	0.0001	0.0001	0.0000	0.0000
YBL032W	HEK2	0.87	0.06	0.84	0.11	0.0063	0.0070	0.0023	0.0331	0.0083
YBL033C	RIB1	0.68	0.12	0.57	0.07	0.0007	0.0074	0.0024	0.0005	0.0003
YBL034C	STU1	0.99	0.07	0.84	0.12	0.0708	0.6413	0.1103	0.0456	0.0109
YBL035C	POL12	0.41	0.05	0.41	0.04	0.0000	0.0001	0.0001	0.0000	0.0001
YBL036C	YBL036C	0.42	0.03	0.52	0.03	0.0000	0.0000	0.0000	0.0000	0.0000
YBL037W	APL3	1.07	0.07	1.36	0.06	0.0001	0.0901	0.0197	0.0001	0.0001
YBL039C	URA7	0.47	0.03	0.40	0.03	0.0000	0.0000	0.0000	0.0000	0.0000
YBL039W-B	YBL039W-B	2.07	0.27	5.41	1.04	0.0001	0.0003	0.0002	0.0000	0.0000
YBL040C	ERD2	1.42	0.41	1.50	0.27	0.0197	0.0509	0.0120	0.0116	0.0035
YBL041W	PRE7	0.95	0.08	0.98	0.10	0.3772	0.2301	0.0448	0.5859	0.1019
YBL042C	FUI1	0.08	0.03	0.42	0.14	0.0001	0.0001	0.0001	0.0038	0.0014
YBL045C	COR1	2.22	0.19	5.75	0.28	0.0000	0.0000	0.0000	0.0000	0.0000
YBL046W	PSY4	1.16	0.39	0.93	0.50	0.2648	0.6285	0.1083	0.4873	0.0868
YBL047C	EDE1	1.61	0.13	1.44	0.10	0.0002	0.0002	0.0002	0.0003	0.0002
YBL050W	SEC17	1.41	0.08	1.69	0.13	0.0001	0.0002	0.0001	0.0001	0.0001
YBL051C	PIN4	1.07	0.11	1.33	0.14	0.0000	0.2728	0.0522	0.0034	0.0012
YBL054W	TOD6	0.14	0.02	0.26	0.09	0.0000	0.0000	0.0000	0.0007	0.0004
YBL055C	YBL055C	0.82	0.09	0.84	0.08	0.0239	0.0171	0.0048	0.0147	0.0042
YBL056W	PTC3	0.98	0.08	1.30	0.25	0.0059	0.5741	0.1002	0.0424	0.0103
YBL057C	PTH2	0.97	0.21	0.89	0.09	0.0572	0.6126	0.1058	0.0509	0.0120
YBL058W	SHP1	1.09	0.07	1.13	0.10	0.0247	0.0327	0.0082	0.0368	0.0091
YBL059C-A	CMC2	1.61	0.22	2.49	0.32	0.0001	0.0015	0.0007	0.0001	0.0001
YBL060W	YEL1	1.02	0.15	1.12	0.19	0.3732	0.8329	0.1380	0.2754	0.0526
YBL061C	SKT5	0.44	0.03	0.48	0.04	0.0000	0.0000	0.0000	0.0000	0.0000
YBL064C	PRX1	2.58	0.18	4.89	0.31	0.0000	0.0000	0.0000	0.0000	0.0000
YBL066C	SEF1	1.55	0.70	4.56	2.31	0.0156	0.1105	0.0236	0.0097	0.0030
YBL067C	UBP13	0.74	0.24	1.20	0.26	0.0233	0.0746	0.0167	0.2230	0.0436
YBL068W	PRS4	0.72	0.11	0.65	0.13	0.0116	0.0083	0.0026	0.0074	0.0024
YBL069W	AST1	0.66	0.08	0.63	0.04	0.0001	0.0012	0.0005	0.0001	0.0001
YBL071W-A	KTI11	0.05	0.02	0.07	0.03	0.0001	0.0001	0.0001	0.0002	0.0001
YBL072C	RPS8A	0.65	0.05	0.52	0.03	0.0000	0.0002	0.0001	0.0000	0.0000
YBL075C	SSA3	16.11	7.05	39.56	27.20	0.0001	0.0001	0.0001	0.0002	0.0002
YBL076C	ILS1	0.78	0.06	0.69	0.06	0.0011	0.0019	0.0008	0.0007	0.0004
YBL078C	ATG8	3.52	0.73	4.72	0.66	0.0000	0.0002	0.0002	0.0000	0.0000
YBL079W	NUP170	0.69	0.06	0.72	0.03	0.0000	0.0005	0.0003	0.0000	0.0001
YBL080C	PET112	1.66	1.03	3.86	2.17	0.0028	0.6695	0.1144	0.0046	0.0016
YBL085W	BOI1	1.04	0.07	1.01	0.11	0.4948	0.3130	0.0589	0.8623	0.1421
YBL087C	RPL23A	0.69	0.04	0.61	0.03	0.0000	0.0002	0.0001	0.0000	0.0000
YBL088C	TEL1	0.99	0.31	0.86	0.16	0.1984	0.7630	0.1281	0.1171	0.0248
YBL090W	MRP21	1.19	0.14	2.21	0.35	0.0007	0.0283	0.0073	0.0004	0.0002
YBL091C	MAP2	0.99	0.07	0.83	0.14	0.0775	0.7590	0.1275	0.0471	0.0112
YBL092W	RPL32	0.64	0.09	0.53	0.07	0.0005	0.0017	0.0007	0.0004	0.0002
YBL093C	ROX3	0.76	0.07	0.85	0.10	0.0019	0.0027	0.0010	0.0318	0.0081
YBL097W	BRN1	0.48	0.05	0.61	0.05	0.0002	0.0001	0.0001	0.0002	0.0001
YBL098W	BNA4	1.56	0.14	1.84	0.11	0.0000	0.0004	0.0002	0.0000	0.0000
YBL099W	ATP1	1.73	0.12	4.65	0.28	0.0000	0.0001	0.0001	0.0000	0.0000
YBL101C	ECM21	1.77	0.22	2.81	0.48	0.0001	0.0006	0.0003	0.0002	0.0001
YBL102W	SFT2	0.81	0.08	0.97	0.09	0.0132	0.0086	0.0027	0.4185	0.0760
YBL103C	RTG3	0.63	0.11	1.02	0.11	0.0024	0.0034	0.0013	0.7552	0.1270
YBL104C	SEA4	0.70	0.07	0.89	0.12	0.0019	0.0014	0.0006	0.1081	0.0231
YBL105C	PKC1	1.07	0.08	1.35	0.06	0.0002	0.1235	0.0260	0.0001	0.0001
YBR002C	RER2	0.85	0.06	0.79	0.11	0.0089	0.0052	0.0018	0.0166	0.0046
YBR005W	RCR1	1.64	0.25	1.12	0.30	0.0023	0.0020	0.0008	0.4604	0.0825
YBR006W	UGA2	1.49	0.14	3.34	0.34	0.0000	0.0007	0.0004	0.0000	0.0000
YBR009C	HHF1	0.87	0.13	1.12	0.10	0.0314	0.0819	0.0182	0.0452	0.0108
YBR010W	HHT1	0.67	0.12	1.01	0.15	0.0104	0.0070	0.0023	0.9585	0.1553
YBR011C	IPP1	1.21	0.13	1.19	0.08	0.0089	0.0163	0.0046	0.0052	0.0018
YBR014C	GRX7	0.89	0.08	0.97	0.11	0.0375	0.0495	0.0117	0.5768	0.1006
YBR015C	MNN2	0.95	0.04	1.02	0.11	0.0463	0.0503	0.0119	0.7761	0.1300
YBR017C	KAP104	0.91	0.09	0.90	0.06	0.0469	0.0962	0.0209	0.0272	0.0070
YBR022W	POA1	1.09	0.32	1.42	0.23	0.0057	0.7011	0.1192	0.0087	0.0027
YBR023C	CHS3	0.40	0.05	0.33	0.05	0.0001	0.0001	0.0001	0.0001	0.0001
YBR024W	SCO2	2.41	0.29	3.73	0.63	0.0000	0.0001	0.0001	0.0001	0.0001
YBR025C	OLA1	0.82	0.07	0.74	0.03	0.0001	0.0069	0.0022	0.0001	0.0001
YBR026C	ETR1	1.37	0.09	2.14	0.21	0.0000	0.0005	0.0003	0.0001	0.0001
YBR028C	YPK3	1.06	0.34	0.46	0.16	0.0146	0.9446	0.1534	0.0132	0.0038
YBR029C	CDS1	0.84	0.04	0.86	0.11	0.0014	0.0011	0.0005	0.0525	0.0123
YBR031W	RPL4A	0.57	0.09	0.44	0.06	0.0002	0.0012	0.0006	0.0001	0.0001
YBR034C	HMT1	0.53	0.01	0.57	0.04	0.0000	0.0000	0.0000	0.0001	0.0001
YBR035C	PDX3	1.55	0.21	2.33	0.18	0.0000	0.0017	0.0007	0.0000	0.0000
YBR036C	CSG2	0.69	0.04	0.44	0.06	0.0000	0.0002	0.0001	0.0002	0.0001
YBR037C	SCO1	1.66	0.12	2.34	0.18	0.0000	0.0001	0.0001	0.0000	0.0000
YBR038W	CHS2	0.18	0.04	0.29	0.08	0.0002	0.0001	0.0001	0.0006	0.0003
YBR039W	ATP3	1.92	0.11	4.94	0.73	0.0000	0.0000	0.0000	0.0000	0.0000
YBR041W	FAT1	1.04	0.07	1.01	0.10	0.4588	0.3093	0.0583	0.8478	0.1400
YBR042C	CST26	0.73	0.06	0.69	0.05	0.0006	0.0008	0.0004	0.0004	0.0002
YBR044C	TCM62	1.35	0.24	2.10	0.57	0.0057	0.0250	0.0065	0.0048	0.0017
YBR046C	ZTA1	1.63	0.20	4.52	0.61	0.0000	0.0012	0.0005	0.0000	0.0000
YBR048W	RPS11B	0.54	0.06	0.47	0.05	0.0001	0.0002	0.0002	0.0001	0.0001
YBR049C	REB1	0.89	0.06	1.06	0.10	0.0005	0.0247	0.0065	0.2491	0.0482
YBR052C	RFS1	2.18	0.16	2.64	0.38	0.0000	0.0000	0.0000	0.0001	0.0001
YBR053C	YBR053C	1.99	0.13	2.50	0.18	0.0000	0.0000	0.0000	0.0000	0.0000
YBR054W	YRO2	2.37	0.16	3.69	0.18	0.0000	0.0000	0.0000	0.0000	0.0000
YBR055C	PRP6	0.83	0.06	0.68	0.06	0.0008	0.0056	0.0019	0.0005	0.0003
YBR056W	YBR056W	3.38	0.28	3.73	0.44	0.0000	0.0000	0.0000	0.0000	0.0000
YBR057C	MUM2	0.64	0.13	0.61	0.25	0.0110	0.0065	0.0021	0.0311	0.0079
YBR058C	UBP14	1.06	0.02	1.14	0.05	0.0019	0.0030	0.0011	0.0024	0.0010
YBR058C-A	TSC3	0.99	0.14	1.08	0.44	0.6766	0.7437	0.1252	0.8922	0.1462
YBR059C	AKL1	1.40	0.07	1.47	0.15	0.0002	0.0001	0.0001	0.0009	0.0004
YBR061C	TRM7	0.68	0.08	0.85	0.13	0.0008	0.0015	0.0007	0.0781	0.0174
YBR062C	YBR062C	1.08	0.48	0.77	0.29	0.1240	0.9800	0.1581	0.1327	0.0276
YBR066C	NRG2	0.03	0.04	0.11	0.050		0.1606	0.0327	0.0067	0.0022
YBR068C	BAP2	0.29	0.04	0.20	0.02	0.0000	0.0000	0.0001	0.0000	0.0000
YBR069C	TAT1	0.33	0.05	0.37	0.04	0.0000	0.0001	0.0001	0.0000	0.0000
YBR072W	HSP26	5.86	0.31	8.07	0.25	0.0000	0.0000	0.0000	0.0000	0.0000
YBR073W	RDH54	0.49	0.05	0.28	0.03	0.0000	0.0001	0.0001	0.0000	0.0000
YBR074W	YBR074W	0.88	0.07	0.83	0.11	0.0306	0.0241	0.0063	0.0380	0.0094
YBR078W	ECM33	1.05	0.08	1.34	0.14	0.0068	0.2758	0.0527	0.0042	0.0015
YBR079C	RPG1	0.82	0.07	0.71	0.03	0.0001	0.0049	0.0017	0.0000	0.0001
YBR080C	SEC18	1.21	0.07	1.19	0.06	0.0015	0.0020	0.0008	0.0015	0.0007
YBR081C	SPT7	1.12	0.16	1.16	0.13	0.0618	0.1732	0.0350	0.0454	0.0109
YBR082C	UBC4	0.80	0.13	0.75	0.09	0.0109	0.0351	0.0088	0.0065	0.0021
YBR084W	MIS1	0.61	0.02	0.53	0.02	0.0000	0.0000	0.0000	0.0000	0.0000
YBR085C-A	YBR085C-A	4.12	0.23	2.93	0.30	0.0000	0.0000	0.0000	0.0000	0.0000
YBR086C	IST2	0.98	0.05	1.05	0.08	0.2845	0.3416	0.0636	0.2578	0.0497
YBR087W	RFC5	0.91	0.09	0.94	0.08	0.1671	0.1010	0.0218	0.2012	0.0399
YBR088C	POL30	0.92	0.06	0.94	0.09	0.0724	0.0430	0.0104	0.2215	0.0434
YBR089C-A	NHP6B	1.13	0.12	1.99	0.15	0.0001	0.0704	0.0159	0.0000	0.0000
YBR091C	TIM12	0.98	0.26	1.39	0.28	0.0074	0.6980	0.1187	0.0318	0.0081
YBR092C	PHO3	3.06	0.27	2.43	0.17	0.0000	0.0000	0.0000	0.0000	0.0000
YBR093C	PHO5	1.27	0.21	3.97	0.67	0.0000	0.0518	0.0122	0.0001	0.0001
YBR094W	PBY1	0.84	0.05	1.11	0.07	0.0004	0.0028	0.0011	0.0246	0.0065
YBR095C	RXT2	0.81	0.07	0.96	0.09	0.0035	0.0047	0.0016	0.3245	0.0608
YBR096W	YBR096W	1.18	0.08	1.20	0.07	0.0034	0.0050	0.0017	0.0021	0.0009
YBR097W	VPS15	0.80	0.18	0.64	0.13	0.0142	0.0836	0.0185	0.0103	0.0031
YBR101C	FES1	0.80	0.05	0.81	0.03	0.0002	0.0021	0.0008	0.0002	0.0002
YBR102C	EXO84	0.94	0.06	1.00	0.04	0.1473	0.0998	0.0215	0.9738	0.1573
YBR103W	SIF2	0.78	0.08	0.80	0.03	0.0005	0.0055	0.0019	0.0003	0.0002
YBR104W	YMC2	0.27	0.05	0.32	0.14	0.0001	0.0001	0.0001	0.0023	0.0009
YBR106W	PHO88	0.82	0.11	0.65	0.07	0.0012	0.0240	0.0063	0.0007	0.0004
YBR108W	AIM3	1.08	0.18	1.98	0.30	0.0005	0.4727	0.0845	0.0006	0.0003
YBR109C	CMD1	1.12	0.08	1.31	0.08	0.0011	0.0278	0.0072	0.0007	0.0004
YBR110W	ALG1	1.06	0.13	1.04	0.11	0.6447	0.4273	0.0774	0.5550	0.0972
YBR111C	YSA1	1.72	0.12	1.81	0.15	0.0000	0.0001	0.0001	0.0001	0.0001
YBR112C	CYC8	1.00	0.05	1.13	0.07	0.0040	0.8359	0.1384	0.0140	0.0040
YBR118W	TEF2	0.79	0.06	0.70	0.03	0.0001	0.0021	0.0009	0.0001	0.0001
YBR120C	CBP6	2.17	0.37	3.13	0.35	0.0000	0.0008	0.0004	0.0000	0.0000
YBR121C	GRS1	0.89	0.04	0.85	0.06	0.0027	0.0064	0.0021	0.0052	0.0018
YBR122C	MRPL36	1.16	0.17	1.64	0.10	0.0000	0.0931	0.0203	0.0001	0.0001
YBR125C	PTC4	0.83	0.13	2.03	0.45	0.0000	0.0377	0.0093	0.0015	0.0007
YBR126C	TPS1	2.97	0.17	3.32	0.25	0.0000	0.0000	0.0000	0.0000	0.0000
YBR126W-A	YBR126W-A	1.14	0.47	1.42	0.56	0.2478	0.7055	0.1199	0.1479	0.0304
YBR127C	VMA2	1.21	0.09	1.11	0.06	0.0045	0.0037	0.0014	0.0098	0.0030
YBR129C	OPY1	0.96	0.16	1.33	0.22	0.0079	0.4908	0.0874	0.0228	0.0061
YBR130C	SHE3	0.67	0.10	0.70	0.18	0.0045	0.0039	0.0014	0.0200	0.0054
YBR132C	AGP2	14.50	8.33	37.18	22.29	0.0003	0.0005	0.0003	0.0002	0.0002
YBR133C	HSL7	0.69	0.10	0.67	0.09	0.0020	0.0035	0.0013	0.0021	0.0009
YBR135W	CKS1	0.76	0.14	0.74	0.08	0.0057	0.0234	0.0062	0.0035	0.0013
YBR137W	YBR137W	1.47	0.18	2.00	0.14	0.0000	0.0019	0.0008	0.0000	0.0000
YBR139W	YBR139W	4.27	0.54	5.66	0.76	0.0000	0.0000	0.0000	0.0000	0.0000
YBR140C	IRA1	1.02	0.14	1.34	0.24	0.0370	0.8025	0.1337	0.0356	0.0089
YBR142W	MAK5	0.48	0.02	0.44	0.02	0.0000	0.0000	0.0000	0.0000	0.0000
YBR143C	SUP45	0.71	0.07	0.66	0.03	0.0001	0.0010	0.0005	0.0000	0.0001
YBR145W	ADH5	2.95	0.44	4.28	0.89	0.0002	0.0001	0.0001	0.0001	0.0001
YBR146W	MRPS9	0.70	0.26	0.59	0.27	0.0748	0.0717	0.0162	0.0537	0.0126
YBR149W	ARA1	2.14	0.14	2.74	0.16	0.0000	0.0000	0.0000	0.0000	0.0000
YBR150C	TBS1	1.47	0.19	1.94	0.27	0.0005	0.0025	0.0010	0.0004	0.0002
YBR151W	APD1	1.32	0.12	1.63	0.22	0.0020	0.0020	0.0008	0.0013	0.0006
YBR152W	SPP381	0.63	0.08	0.64	0.05	0.0002	0.0010	0.0005	0.0002	0.0001
YBR154C	RPB5	0.70	0.04	0.70	0.04	0.0001	0.0001	0.0001	0.0001	0.0001
YBR155W	CNS1	0.40	0.02	0.39	0.05	0.0000	0.0000	0.0000	0.0001	0.0001
YBR157C	ICS2	2.88	0.83	4.88	1.04	0.0000	0.0011	0.0005	0.0001	0.0001
YBR158W	AMN1	2.13	0.83	2.25	0.99	0.0325	0.0221	0.0059	0.0220	0.0059
YBR159W	IFA38	1.08	0.07	1.11	0.13	0.0715	0.0579	0.0134	0.1333	0.0278
YBR160W	CDC28	1.94	0.12	2.15	0.22	0.0000	0.0000	0.0000	0.0001	0.0001
YBR162C	TOS1	1.40	0.05	2.12	0.12	0.0000	0.0000	0.0001	0.0000	0.0000
YBR164C	ARL1	0.87	0.03	0.82	0.07	0.0003	0.0005	0.0003	0.0067	0.0022
YBR166C	TYR1	0.88	0.02	0.88	0.02	0.0004	0.0002	0.0002	0.0004	0.0003
YBR167C	POP7	0.74	0.14	0.70	0.16	0.0193	0.0187	0.0051	0.0171	0.0048
YBR169C	SSE2	3.47	0.26	3.97	0.46	0.0000	0.0000	0.0000	0.0000	0.0000
YBR170C	NPL4	0.92	0.05	1.10	0.06	0.0037	0.0290	0.0074	0.0211	0.0057
YBR171W	SEC66	0.83	0.05	0.70	0.05	0.0005	0.0019	0.0008	0.0003	0.0002
YBR172C	SMY2	0.67	0.03	0.78	0.06	0.0001	0.0001	0.0001	0.0016	0.0007
YBR173C	UMP1	6.38	1.59	6.15	2.25	0.0000	0.0001	0.0001	0.0003	0.0002
YBR176W	ECM31	1.01	0.08	1.43	0.16	0.0036	0.8514	0.1405	0.0022	0.0009
YBR177C	EHT1	1.86	0.21	2.28	0.24	0.0001	0.0003	0.0002	0.0001	0.0001
YBR179C	FZO1	0.99	0.08	1.19	0.09	0.0119	0.8195	0.1361	0.0070	0.0023
YBR181C	RPS6B	0.73	0.03	0.59	0.08	0.0001	0.0001	0.0001	0.0009	0.0004
YBR185C	MBA1	3.33	2.23	4.36	1.76	0.0047	0.0324	0.0082	0.0028	0.0011
YBR187W	GDT1	0.80	0.22	0.58	0.04	0.0001	0.0863	0.0190	0.0001	0.0001
YBR189W	RPS9B	0.61	0.10	0.47	0.10	0.0010	0.0030	0.0011	0.0012	0.0006
YBR191W	RPL21A	0.87	0.08	0.61	0.12	0.0054	0.0238	0.0063	0.0040	0.0014
YBR192W	RIM2	0.79	0.12	1.39	0.31	0.0027	0.0240	0.0063	0.0358	0.0089
YBR196C	PGI1	1.24	0.11	1.15	0.10	0.0045	0.0046	0.0016	0.0259	0.0067
YBR197C	YBR197C	0.82	0.21	0.89	0.25	0.1998	0.1177	0.0249	0.3143	0.0591
YBR198C	TAF5	0.85	0.04	0.83	0.07	0.0033	0.0020	0.0008	0.0083	0.0026
YBR199W	KTR4	1.33	0.09	1.23	0.07	0.0012	0.0007	0.0004	0.0015	0.0007
YBR200W	BEM1	0.79	0.06	0.91	0.05	0.0049	0.0030	0.0011	0.0181	0.0050
YBR202W	MCM7	0.86	0.06	0.95	0.06	0.0007	0.0061	0.0020	0.1540	0.0316
YBR204C	LDH1	2.09	0.89	4.19	2.45	0.0051	0.0252	0.0066	0.0035	0.0013
YBR205W	KTR3	0.92	0.05	0.95	0.09	0.0483	0.0360	0.0090	0.3065	0.0578
YBR207W	FTH1	0.67	0.07	0.86	0.16	0.0021	0.0012	0.0006	0.1277	0.0267
YBR208C	DUR1,2	2.54	0.43	2.24	0.34	0.0002	0.0002	0.0002	0.0003	0.0002
YBR212W	NGR1	1.79	0.37	2.89	0.42	0.0001	0.0031	0.0012	0.0001	0.0001
YBR214W	SDS24	3.99	0.19	5.16	0.39	0.0000	0.0000	0.0000	0.0000	0.0000
YBR215W	HPC2	0.59	0.08	0.90	0.07	0.0003	0.0008	0.0004	0.0302	0.0077
YBR216C	YBP1	1.18	0.11	1.29	0.08	0.0016	0.0145	0.0041	0.0009	0.0005
