Gene	Feature	Mean_FC_12_6	SD_12_6	Mean_FC_20_6	SD_20_6	anova_f_value	p_value_12_6	q_value_12_6	p_value_20_6	q_value_20_6
YOR034C-A	YOR034C-A	1.51	1.31	1.40	1.68	0.2064	0.6117	0.1057	0.8805	0.1446
YOR035C	SHE4	1.79	0.06	2.46	0.29	0.0000	0.0000	0.0000	0.0001	0.0001
YOR036W	PEP12	1.47	0.23	1.76	0.39	0.0048	0.0043	0.0015	0.0053	0.0018
YOR038C	HIR2	0.53	0.19	0.67	0.23	0.0153	0.0094	0.0029	0.0520	0.0122
YOR039W	CKB2	0.89	0.10	0.86	0.06	0.0126	0.0899	0.0197	0.0081	0.0025
YOR040W	GLO4	1.01	0.26	3.10	1.18	0.0018	0.9095	0.1486	0.0034	0.0012
YOR042W	CUE5	1.54	0.07	2.08	0.13	0.0000	0.0000	0.0000	0.0000	0.0000
YOR043W	WHI2	0.49	0.04	0.75	0.05	0.0000	0.0000	0.0000	0.0006	0.0003
YOR045W	TOM6	1.18	0.20	1.42	0.15	0.0033	0.0878	0.0193	0.0020	0.0008
YOR046C	DBP5	0.83	0.04	0.79	0.05	0.0002	0.0006	0.0003	0.0009	0.0004
YOR048C	RAT1	0.59	0.03	0.49	0.04	0.0000	0.0000	0.0000	0.0000	0.0001
YOR049C	RSB1	12.14	9.73	11.75	6.67	0.0010	0.0015	0.0007	0.0010	0.0005
YOR051C	ETT1	0.76	0.07	0.70	0.07	0.0017	0.0028	0.0011	0.0015	0.0007
YOR052C	YOR052C	1.08	0.21	0.33	0.03	0.0000	0.4642	0.0831	0.0000	0.0000
YOR054C	VHS3	2.06	0.36	3.49	0.58	0.0001	0.0010	0.0005	0.0001	0.0001
YOR056C	NOB1	0.31	0.02	0.24	0.03	0.0000	0.0000	0.0000	0.0000	0.0000
YOR057W	SGT1	1.00	0.06	1.25	0.07	0.0001	0.9576	0.1552	0.0007	0.0004
YOR059C	YOR059C	1.12	0.43	1.14	0.22	0.2054	0.7346	0.1240	0.2655	0.0510
YOR061W	CKA2	0.93	0.07	0.97	0.03	0.0491	0.1033	0.0222	0.0862	0.0190
YOR063W	RPL3	0.68	0.07	0.56	0.06	0.0000	0.0008	0.0004	0.0002	0.0001
YOR065W	CYT1	3.28	0.18	11.35	1.54	0.0000	0.0000	0.0000	0.0000	0.0000
YOR069W	VPS5	1.09	0.07	1.18	0.16	0.0677	0.0494	0.0117	0.0582	0.0135
YOR074C	CDC21	1.25	0.20	1.82	0.12	0.0000	0.0329	0.0083	0.0000	0.0001
YOR077W	RTS2	0.68	0.06	1.05	0.15	0.0007	0.0004	0.0003	0.5142	0.0910
YOR078W	BUD21	0.32	0.02	0.28	0.03	0.0000	0.0000	0.0000	0.0000	0.0000
YOR079C	ATX2	0.42	0.14	0.49	0.05	0.0001	0.0045	0.0016	0.0001	0.0001
YOR084W	LPX1	0.48	0.07	9.33	1.34	0.0000	0.0004	0.0002	0.0000	0.0000
YOR085W	OST3	1.08	0.22	1.00	0.17	0.6608	0.5799	0.1010	0.8626	0.1421
YOR086C	TCB1	1.69	0.09	1.76	0.12	0.0000	0.0000	0.0000	0.0001	0.0001
YOR087W	YVC1	1.27	0.20	1.43	0.13	0.0013	0.0301	0.0077	0.0010	0.0005
YOR089C	VPS21	1.35	0.18	1.88	0.18	0.0001	0.0069	0.0022	0.0001	0.0001
YOR090C	PTC5	1.24	0.11	1.20	0.07	0.0028	0.0062	0.0020	0.0020	0.0008
YOR091W	TMA46	0.50	0.03	0.39	0.01	0.0000	0.0000	0.0000	0.0000	0.0000
YOR092W	ECM3	1.02	0.15	0.57	0.13	0.0048	0.8609	0.1418	0.0061	0.0020
YOR094W	ARF3	1.03	0.17	1.22	0.21	0.0209	0.7625	0.1280	0.0700	0.0159
YOR095C	RKI1	0.51	0.04	1.03	0.06	0.0000	0.0000	0.0001	0.3180	0.0598
YOR096W	RPS7A	0.69	0.05	0.58	0.02	0.0000	0.0004	0.0002	0.0000	0.0000
YOR098C	NUP1	0.43	0.05	0.42	0.06	0.0001	0.0001	0.0001	0.0002	0.0001
YOR099W	KTR1	1.08	0.09	0.85	0.06	0.0044	0.0921	0.0201	0.0074	0.0024
YOR100C	CRC1	0.73	0.10	6.46	0.96	0.0000	0.0062	0.0021	0.0000	0.0000
YOR101W	RAS1	0.52	0.05	0.51	0.04	0.0000	0.0001	0.0001	0.0000	0.0001
YOR103C	OST2	0.91	0.21	0.91	0.07	0.0501	0.2966	0.0561	0.0470	0.0112
YOR104W	PIN2	0.77	0.08	0.91	0.14	0.0058	0.0036	0.0013	0.2434	0.0472
