!Series_title	"Differential yeast gene transcription during brewery propagation"
!Series_geo_accession	"GSE16376"
!Series_sample_id	"GSM410831 GSM410832 GSM410833 GSM410834 GSM410835 GSM410836 GSM410837 GSM410838 GSM410839 GSM410840 GSM410841 GSM410842"
!Series_platform_id	"GPL2529"
!Series_platform_taxid	"4896"
!Series_platform_taxid	"4932"
!Series_sample_taxid	"27292"
!Sample_title	"Prop_0h_A"	"Prop_0h_B"	"Prop_0h_C"	"Prop_4h_A"	"Prop_4h_B"	"Prop_4h_C"	"Prop_8h_A"	"Prop_8h_B"	"Prop_8h_C"	"Prop_30h_A"	"Prop_30h_B"	"Prop_30h_C"
!Sample_geo_accession	"GSM410831"	"GSM410832"	"GSM410833"	"GSM410834"	"GSM410835"	"GSM410836"	"GSM410837"	"GSM410838"	"GSM410839"	"GSM410840"	"GSM410841"	"GSM410842"
!Sample_type	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"
!Sample_channel_count	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
!Sample_description	"Prop_0h_A"	"Prop_0h_B"	"Prop_0h_C"	"Prop_4h_A"	"Prop_4h_B"	"Prop_4h_C"	"Prop_8h_A"	"Prop_8h_B"	"Prop_8h_C"	"Prop_30h_A"	"Prop_30h_B"	"Prop_30h_C"
!Sample_platform_id	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"
!Sample_data_row_count	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"
!series_matrix_table_begin
"ID_REF"	"GSM410831"	"GSM410832"	"GSM410833"	"GSM410834"	"GSM410835"	"GSM410836"	"GSM410837"	"GSM410838"	"GSM410839"	"GSM410840"	"GSM410841"	"GSM410842"
"1769342_at"	235.821	290.008	514.602	354.401	324.909	436.779	23.0648	17.4384	19.4075	45.9095	51.2643	35.2566
"1769343_at"	3.23748	5.2068	2.27209	2.10676	1.09839	0.971681	0.945553	7.44761	1.60991	5.69769	7.59085	1.19842
"1769344_at"	277.31	238.595	491.598	189.655	190.122	190.891	81.2579	82.2828	53.5833	73.3225	94.9035	76.7436
"1769345_at"	115.847	141.823	300.331	78.4635	76.4117	99.2478	30.2365	32.7485	14.9287	35.3349	29.2374	34.8002
"1769346_at"	121.355	147.795	291.656	84.3638	88.1141	101.853	19.0349	20.9239	19.1108	26.2743	25.4776	10.8956
"1769347_at"	8.6966	2.28845	1.73393	0.262456	0.542855	3.95065	4.69014	0.266394	5.4247	1.45038	7.07759	10.0898
"1769348_at"	1.43418	8.88551	1.68719	0.796661	6.48817	4.35149	3.2035	2.0072	1.21553	1.55877	7.04546	9.64599
"1769349_s_at"	125.664	288.189	189.727	116.177	154.697	73.8143	136.419	257.616	155.11	259.077	164.419	338.106
"1769350_at"	78.9663	61.135	131.684	45.3569	39.5075	38.3986	50.0962	45.6469	28.8314	58.8107	84.3223	82.1929
"1769351_at"	12.2931	12.2657	3.63547	0.809595	2.27827	1.11365	0.515531	5.47532	0.601884	1.21269	2.49402	0.681849
"1769352_at"	197.85	627.08	1053.48	143.175	146.69	156.421	135.724	128.727	60.1575	84.7111	237.649	133.851
"1769353_at"	0.562156	1.0301	4.09573	0.422789	0.199922	0.129308	0.427497	0.889424	0.863871	1.45174	0.4406	0.944295
"1769354_at"	14.4351	1.51092	4.60674	0.424126	0.379534	0.184763	3.48075	2.68544	1.88703	9.1614	6.72518	6.34047
"1769355_at"	6.51361	5.92531	6.01837	0.475413	0.51714	1.49593	3.54305	4.90848	0.711855	5.85751	6.44984	1.18608
"1769356_at"	515.147	532.682	1171.74	329.681	326.793	358.716	136.443	164.215	93.6215	108.923	167.672	180.193
"1769357_at"	2.57556	6.89794	1.99798	0.283989	0.448388	0.530453	0.411137	4.53632	8.08592	2.70727	1.23601	0.357286
